candidate_contributions_less_repayments,candidate_id,candidate_last_name,candidate_name,candidate_party_affiliation,cash_on_hand_end,committee_designation,committee_id,committee_name,committee_type,debts_owed_by_committee,disbursements_less_offsets,election_year,exempt_legal_accounting_disbursement,federal_funds,fundraising_disbursements,individual_contributions_less_refunds,net_receipts,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,pac_contributions_less_refunds,party_contributions_less_refunds,repayments_loans_made_by_candidate,repayments_other_loans,rounded_net_receipts,total_contribution_refunds,total_loan_repayments_made,transfers_from_affiliated_committees,transfers_to_other_authorized_committees
0.0,P00003186,Thompson,"THOMPSON, FRED DALTON",REP,201211.09,P,C00438507,FRIENDS OF FRED THOMPSON INC,P,52593.26,23247269.72,2008,0.0,0.0,0.0,23202419.42,23448480.81,287939.97,23524609.69,10600.0,176555.02,0.0,0.0,0.0,23.4,418238.18,0.0,0.0,0.0
0.0,P20002721,Santorum,"SANTORUM, RICK",REP,126273.71,P,C00496034,RICK SANTORUM FOR PRESIDENT,P,732035.38,22528820.32,2012,0.0,0.0,0.0,22244050.42,22655094.03,654871.02,23177191.34,6500.0,67340.12,600.0,20000.0,0.0,22.7,222765.47,20000.0,0.0,0.0
2300.0,P80003411,Richardson,"RICHARDSON, BILL",DEM,3201.48,P,C00431577,"RICHARDSON FOR PRESIDENT, INC.",P,27086.4,22401549.22,2008,0.0,0.0,0.0,22053014.1,22404750.7,417988.14,22819537.36,0.0,278829.0,5000.0,0.0,1000000.0,22.4,1029354.58,1000000.0,0.0,0.0
0.0,P20003281,Perry,"PERRY, RICK",REP,394512.46,P,C00500587,RICKPERRY.ORG INC,P,0.0,19332541.2,2012,0.0,0.0,0.0,19455985.28,19727053.66,264027.37,19579018.57,17550.0,250379.51,0.0,0.0,0.0,19.7,602500.12,0.0,0.0,0.0
0.0,P60003670,Kasich,"KASICH, JOHN R.",REP,179886.17,P,C00581876,KASICH FOR AMERICA,P,0.0,18717285.86,2016,0.0,0.0,0.0,18511821.14,18897172.03,125093.86,18842379.72,0.0,233970.62,0.0,0.0,0.0,18.9,583695.13,0.0,0.0,0.0
0.0,P00010793,O’Rourke,"O’ROURKE, ROBERT BETO",DEM,221665.57,P,C00699090,BETO FOR AMERICA,P,10825.0,17259668.99,2020,0.0,0.0,0.0,17474543.01,17481334.56,81315.41,17272537.84,68446.56,6791.36,0.0,0.0,0.0,17.5,974385.45,0.0,0.0,0.0
13970652.81,P40013518,Burgum,"BURGUM, DOUG",REP,2734.93,P,C00842302,"DOUG BURGUM FOR AMERICA, INC.",P,13970652.81,17070641.15,2024,0.0,0.0,0.0,3080522.67,17073376.08,129027.77,17171418.92,28250.0,22000.0,0.0,780000.0,0.0,17.1,25525.0,780000.0,0.0,0.0
275000.0,P00003608,Cain,"CAIN, HERMAN",REP,4117.46,P,C00496067,FRIENDS OF HERMAN CAIN INC,P,450000.0,16222995.22,2012,0.0,0.0,0.0,15890418.49,16227112.68,154934.08,16347129.3,30800.0,18832.12,6650.0,400000.0,0.0,16.2,135930.18,400000.0,0.0,0.0
0.0,P80003478,Huckabee,"HUCKABEE, MIKE",REP,50433.35,P,C00431809,"HUCKABEE FOR PRESIDENT, INC.",P,100964.92,16025153.34,2008,0.0,0.0,0.0,15992000.54,16075586.69,340955.66,16365709.0,400.0,54423.43,15500.0,0.0,0.0,16.1,79083.17,0.0,0.0,0.0
0.0,P80003387,Dodd,"DODD, CHRISTOPHER J",DEM,196048.88,P,C00431379,CHRIS DODD FOR PRESIDENT INC,P,166737.16,15246952.77,2008,0.0,1961741.71,0.0,8907659.17,15883111.65,124450.52,15365403.29,11000.0,579309.7,100.0,0.0,1302811.25,15.9,1354100.3,1302811.25,4739005.0,440110.0
